index,gdp,nat_re,schl,gini,g
MUS 85,0,0,0,1,1
MUS 95,1,0,0,0,1
MUS 05,1,0,0,1,0
MWI 85,0,1,0,1,0
MWI 95,0,1,0,1,0
MWI 05,0,1,0,1,1
MYS 75,0,1,0,1,1
MYS 85,0,1,0,1,0
MYS 95,1,1,1,1,1
MYS 05,1,1,1,1,1
NAM 95,1,0,0,1,0
NAM 05,0,0,0,1,0
NER 95,0,1,0,1,0
NER 05,0,1,0,1,0
NIC 95,0,1,0,1,1
NIC 05,0,0,0,1,0
NLD 75,1,0,1,0,1
NLD 85,1,1,1,0,0
NLD 95,1,0,1,0,1
NLD 05,1,0,1,0,0
NOR 75,1,1,1,0,1
NOR 85,1,1,1,0,1
NOR 95,1,1,1,0,1
NOR 05,1,1,1,0,1
NPL 95,0,1,0,1,0
NPL 05,0,1,0,1,1
NZL 75,1,0,1,0,0
NZL 85,1,0,1,0,1
NZL 95,1,0,1,0,0
NZL 05,1,0,1,0,0
PAK 75,0,1,0,0,0
PAK 85,0,1,0,0,1
PAK 95,0,1,0,0,0
PAK 05,0,1,0,0,1
PAN 75,0,0,1,1,0
PAN 85,0,0,1,1,0
PAN 95,1,0,1,1,1
PAN 05,1,0,1,1,0
PER 85,0,1,1,1,0
PER 95,0,1,1,1,1
PER 05,0,1,1,1,1
PHL 75,0,1,0,1,0
PHL 85,0,0,1,1,0
PHL 95,0,0,1,1,1
PHL 05,0,0,0,1,0
PNG 95,0,1,0,1,0
PNG 05,0,1,0,1,0
POL 95,1,0,1,0,1
POL 05,1,0,1,0,1
PRT 75,0,0,0,0,0
PRT 85,1,0,0,0,1
PRT 95,1,0,0,0,1
PRT 05,1,0,0,0,0
PRY 95,0,1,0,1,0
PRY 05,0,1,0,1,0
ROU 95,0,1,1,0,0
ROU 05,1,1,1,0,1
RUS 95,1,1,1,0,0
RUS 05,1,1,1,1,1
RWA 85,0,1,0,0,1
RWA 95,0,1,0,1,0
RWA 05,0,1,0,1,1
SEN 95,0,1,0,1,0
SEN 05,0,0,0,1,0
SGP 75,1,0,0,1,1
SGP 85,1,0,0,1,1
SGP 95,1,0,1,0,1
SGP 05,1,0,1,1,0
SLE 95,0,1,0,1,0
SLE 05,0,1,0,1,1
SLV 95,0,0,0,1,1
SLV 05,0,0,0,1,0
SVK 95,1,0,1,0,1
SVK 05,1,0,1,0,1
SVN 05,1,0,1,0,1
SWE 75,1,0,1,0,1
SWE 85,1,0,1,0,1
SWE 95,1,0,1,0,0
SWE 05,1,0,1,0,0
SWZ 95,0,1,0,1,1
SWZ 05,0,0,0,1,0
SYR 05,0,1,0,0,1
TGO 05,0,1,0,0,0
THA 75,0,0,0,1,0
THA 85,0,0,0,1,1
THA 95,1,0,0,1,0
THA 05,0,1,0,1,1
TJK 05,0,0,1,0,1
TTO 95,1,1,1,1,1
TTO 05,1,1,1,1,1
TUN 85,0,1,0,1,0
TUN 95,1,1,0,1,1
TUN 05,0,1,0,1,0
TUR 85,0,0,0,1,0
TUR 95,1,0,0,1,1
TUR 05,1,0,0,1,0
TZA 95,0,1,0,0,1
TZA 05,0,1,0,1,1
UGA 85,0,1,0,1,0
UGA 95,0,1,0,0,0
UGA 05,0,1,0,1,1
UKR 95,0,1,1,0,0
UKR 05,0,1,1,0,1
URY 85,1,0,1,1,0
URY 95,1,0,1,1,1
URY 05,1,0,0,1,0
USA 75,1,1,1,0,0
USA 85,1,0,1,0,1
USA 95,1,0,1,0,1
USA 05,1,0,1,0,0
VEN 75,1,1,0,1,0
VEN 85,1,1,0,1,0
VEN 95,1,1,0,1,1
VEN 05,1,1,0,1,1
VNM 95,0,1,0,0,1
VNM 05,0,1,0,0,1
YEM 95,0,1,0,0,0
YEM 05,0,1,0,0,1
ZAF 75,0,1,0,1,0
ZAF 85,1,1,0,1,1
ZAF 95,1,0,1,1,0
ZAF 05,1,1,1,1,0
ZMB 95,0,1,0,1,0
ZMB 05,0,1,0,1,1
ZWE 95,0,1,0,1,0
ZWE 05,0,1,0,1,0
