index,gdp,nat_re,schl,gini,g
MYS05,1,1,1,1,1
NAM95,1,0,0,1,0
NAM05,0,0,0,1,0
NER95,0,1,0,1,0
NER05,0,1,0,1,0
NIC95,0,1,0,1,1
NIC05,0,0,0,1,0
NLD75,1,0,1,0,1
NLD85,1,1,1,0,0
NLD95,1,0,1,0,1
NLD05,1,0,1,0,0
NOR75,1,1,1,0,1
NOR85,1,1,1,0,1
NOR95,1,1,1,0,1
NOR05,1,1,1,0,1
NPL95,0,1,0,1,0
NPL05,0,1,0,1,1
NZL75,1,0,1,0,0
NZL85,1,0,1,0,1
NZL95,1,0,1,0,0
NZL05,1,0,1,0,0
PAK75,0,1,0,0,0
PAK85,0,1,0,0,1
PAK95,0,1,0,0,0
PAK05,0,1,0,0,1
PAN75,0,0,1,1,0
PAN85,0,0,1,1,0
PAN95,1,0,1,1,1
PAN05,1,0,1,1,0
PER85,0,1,1,1,0
PER95,0,1,1,1,1
PER05,0,1,1,1,1
PHL75,0,1,0,1,0
PHL85,0,0,1,1,0
PHL95,0,0,1,1,1
PHL05,0,0,0,1,0
PNG95,0,1,0,1,0
PNG05,0,1,0,1,0
POL95,1,0,1,0,1
POL05,1,0,1,0,1
PRT75,0,0,0,0,0
PRT85,1,0,0,0,1
PRT95,1,0,0,0,1
PRT05,1,0,0,0,0
PRY95,0,1,0,1,0
PRY05,0,1,0,1,0
ROU95,0,1,1,0,0
ROU05,1,1,1,0,1
RUS95,1,1,1,0,0
RUS05,1,1,1,1,1
RWA85,0,1,0,0,1
RWA95,0,1,0,1,0
RWA05,0,1,0,1,1
SEN95,0,1,0,1,0
SEN05,0,0,0,1,0
SGP75,1,0,0,1,1
SGP85,1,0,0,1,1
SGP95,1,0,1,0,1
SGP05,1,0,1,1,0
SLE95,0,1,0,1,0
SLE05,0,1,0,1,1
SLV95,0,0,0,1,1
SLV05,0,0,0,1,0
SVK95,1,0,1,0,1
SVK05,1,0,1,0,1
SVN05,1,0,1,0,1
SWE75,1,0,1,0,1
SWE85,1,0,1,0,1
SWE95,1,0,1,0,0
SWE05,1,0,1,0,0
SWZ95,0,1,0,1,1
SWZ05,0,0,0,1,0
SYR05,0,1,0,0,1
TGO05,0,1,0,0,0
THA75,0,0,0,1,0
THA85,0,0,0,1,1
THA95,1,0,0,1,0
THA05,0,1,0,1,1
TJK05,0,0,1,0,1
TTO95,1,1,1,1,1
TTO05,1,1,1,1,1
TUN85,0,1,0,1,0
TUN95,1,1,0,1,1
TUN05,0,1,0,1,0
TUR85,0,0,0,1,0
TUR95,1,0,0,1,1
TUR05,1,0,0,1,0
TZA95,0,1,0,0,1
TZA05,0,1,0,1,1
UGA85,0,1,0,1,0
UGA95,0,1,0,0,0
UGA05,0,1,0,1,1
UKR95,0,1,1,0,0
UKR05,0,1,1,0,1
URY85,1,0,1,1,0
URY95,1,0,1,1,1
URY05,1,0,0,1,0
USA75,1,1,1,0,0
USA85,1,0,1,0,1
USA95,1,0,1,0,1
USA05,1,0,1,0,0
VEN75,1,1,0,1,0
VEN85,1,1,0,1,0
VEN95,1,1,0,1,1
VEN05,1,1,0,1,1
VNM95,0,1,0,0,1
VNM05,0,1,0,0,1
YEM95,0,1,0,0,0
YEM05,0,1,0,0,1
ZAF75,0,1,0,1,0
ZAF85,1,1,0,1,1
ZAF95,1,0,1,1,0
ZAF05,1,1,1,1,0
ZMB95,0,1,0,1,0
ZMB05,0,1,0,1,1
ZWE95,0,1,0,1,0
ZWE05,0,1,0,1,0
