code,year,gini,PPPI,sch_male,sch_female,log(GNI_PC),growth
GRC,1980.0,39.89,57.98,2.23,1.58,8.51919119408,0.117157732448
GRC,1985.0,41.79,86.75,2.66,2.02,9.10497985632,0.0498921719263
HKG,1970.0,39.8,92.26,2.36,1.3,7.80384330354,0.130294896832
HKG,1975.0,37.3,114.85,2.84,1.85,8.4553177877,0.0518171146012
HKG,1980.0,45.18,72.04,3.31,2.42,8.7144033607,0.146359866999
HKG,1985.0,42.0,104.86,3.79,3.06,9.4462026957,0.108417091706
HKG,1990.0,45.0,108.79,3.89,3.35,9.98828815423,0.0339683233362
HND,1985.0,54.0,77.61,0.92,0.87,6.86693328446,-0.0842426930153
HND,1990.0,54.0,53.25,1.06,1.03,6.44571981939,0.0452626252151
IDN,1975.0,42.21,61.05,0.69,0.3,6.04025471128,0.0427148200596
IDN,1980.0,39.0,33.88,0.91,0.43,6.25382881158,0.0148215944307
IDN,1985.0,39.69,34.33,1.18,0.63,6.32793678373,0.0903970247486
IDN,1990.0,38.29,33.77,1.33,0.8,6.77992190747,-0.0868571093287
IND,1960.0,37.74,67.74,0.27,0.05,4.70048036579,0.0174022753979
IND,1965.0,36.98,47.34,0.32,0.06,4.78749174278,0.0919064658757
IND,1970.0,35.77,50.29,0.55,0.14,5.24702407216,0.0775531062018
IND,1975.0,38.74,54.99,0.87,0.26,5.63478960317,0.0137985742974
IND,1980.0,38.09,44.46,1.04,0.37,5.70378247466,0.0524728528935
IND,1985.0,36.29,36.71,1.21,0.48,5.96614673912,-0.021642716928
IND,1990.0,38.62,29.12,1.73,0.63,5.85793315448,0.0502628856562
IRL,1970.0,38.69,88.87,2.12,2.23,8.12858520037,0.0824649035318
IRL,1975.0,35.65,102.91,2.42,2.56,8.54090971803,0.01899100062
IRN,1965.0,52.05,43.04,0.46,0.16,5.82894561761,0.296854953896
IRN,1970.0,48.88,69.69,0.77,0.26,7.31322038709,0.0765984504512
ITA,1970.0,39.0,77.51,1.67,1.15,8.08332860879,0.190769628836
ITA,1975.0,34.29,98.24,2.08,1.48,9.03717675297,-0.00974614258092
ITA,1980.0,33.15,64.32,2.59,1.94,8.98844604006,0.168601661915
ITA,1985.0,32.74,103.3,3.05,2.41,9.83145434964,0.0222507832106
ITA,1990.0,32.19,100.98,3.52,2.92,9.94270826569,0.01039803338
JAM,1985.0,48.39,84.38,1.51,1.56,7.07326971746,0.0866644125222
JAM,1990.0,44.52,60.26,2.16,2.36,7.50659178007,0.101945223687
JPN,1960.0,34.8,76.91,1.83,1.21,6.79122146273,0.0292185236995
JPN,1965.0,35.5,77.29,1.85,1.38,6.93731408122,0.318361536212
JPN,1970.0,34.4,93.52,2.39,1.86,8.52912176228,0.149213916403
JPN,1975.0,33.4,107.71,3.01,2.27,9.2751913443,-0.00686435345696
JPN,1980.0,35.9,88.06,3.33,2.66,9.24086957701,0.172866715885
JPN,1985.0,35.0,136.14,3.52,3.04,10.1052031564,0.0804654203153
KOR,1960.0,34.34,63.6,1.32,0.39,4.78749174278,0.0308301359655
KOR,1965.0,33.3,55.52,1.73,0.6,4.94164242261,0.303965150749
KOR,1970.0,36.01,56.52,2.18,0.91,6.46146817635,0.188196668893
KOR,1975.0,38.63,77.27,2.76,1.38,7.40245152082,0.0727930754403
KOR,1980.0,34.54,59.69,3.41,1.98,7.76641689802,0.202011778265
KOR,1985.0,33.64,68.36,4.03,2.63,8.77647578935,0.0869728165926
LKA,1960.0,47.0,119.16,1.01,0.63,4.86753445046,0.0536527973189
LKA,1965.0,37.71,103.92,1.73,1.19,5.13579843705,0.0997982332238
LKA,1970.0,35.3,86.89,1.71,1.31,5.63478960317,-0.0226657370614
LKA,1975.0,42.0,35.33,1.5,1.26,5.52146091786,0.0837420669716
LKA,1980.0,45.3,39.25,1.77,1.53,5.94017125272,0.0338152660088
LKA,1985.0,36.7,31.01,2.05,1.87,6.10924758276,0.0704441187179
MEX,1960.0,55.5,60.48,0.59,0.45,6.1527326947,0.0738720206932
MEX,1965.0,57.7,59.87,0.77,0.55,6.52209279817,0.111923157587
MEX,1970.0,57.9,66.47,1.04,0.76,7.08170858611,0.145241608564
MEX,1975.0,50.0,77.1,1.35,0.9,7.80791662893,-0.0288078740446
MEX,1980.0,50.58,60.58,1.6,1.26,7.6638772587,0.0510957863914
MEX,1985.0,54.98,60.04,1.85,1.59,7.91935619066,0.127411542782
MEX,1990.0,56.91,64.79,2.2,1.94,8.55641390457,-0.0046694727994
MUS,1985.0,46.23,72.36,2.47,1.58,7.79975331829,0.0560968195859
MUS,1990.0,43.29,75.46,2.56,1.83,8.08023741622,0.0239003088828
MYS,1965.0,50.0,53.29,0.89,0.29,5.82894561761,0.183258146375
MYS,1970.0,51.8,64.24,1.19,0.48,6.74523634948,0.14894690987
MYS,1975.0,51.0,65.79,1.47,0.74,7.48997089883,0.0119276532639
MYS,1980.0,48.0,49.12,2.01,1.24,7.54960916515,0.0442072137949
MYS,1985.0,48.35,40.74,2.5,1.84,7.77064523413,0.0813741179434
NLD,1970.0,28.6,102.35,3.06,2.29,8.74671634969,0.168959287564
NLD,1975.0,28.14,128.46,3.6,2.73,9.59151278752,-0.064769469784
NLD,1980.0,29.1,75.77,4.09,3.26,9.2676654386,0.127763524584
NLD,1985.0,29.6,112.59,4.35,3.58,9.90648306152,0.0444292089994
NLD,1990.0,29.3846,115.8,4.45,3.85,10.1286291065,0.024891684258
NOR,1960.0,37.52,84.2,1.0,0.62,7.62559507213,0.0839986417342
NOR,1965.0,36.04,87.06,1.38,0.85,8.0455882808,0.197602982535
NOR,1970.0,37.48,127.27,1.59,1.05,9.03360319348,0.124924600498
NOR,1975.0,31.15,135.83,1.95,1.36,9.65822619597,-0.0092857474563
NOR,1980.0,31.39,102.67,2.65,2.08,9.61179745869,0.114695968119
NOR,1985.0,33.11,128.07,3.26,2.72,10.1852772993,0.0303877653268
NOR,1990.0,33.31,124.95,3.64,3.12,10.3372161259,0.0282958618628
NZL,1975.0,34.79,94.69,4.36,3.91,8.78416222227,0.0141861515516
NZL,1980.0,35.82,68.76,4.15,3.76,8.85509298003,0.116476592906
NZL,1985.0,40.21,87.27,3.85,3.48,9.43747594456,0.0131068082758
PAK,1965.0,36.51,69.09,0.73,0.16,5.0106352941,0.0129077042275
PAK,1970.0,38.05,55.84,0.9,0.21,5.07517381523,0.15655186785
PAK,1975.0,38.92,66.34,1.14,0.11,5.85793315448,0.0164476196474
PAK,1980.0,39.04,52.98,1.35,0.33,5.94017125272,0.0200166917114
PAK,1985.0,38.03,40.31,1.47,0.4,6.04025471128,0.0137985742974
PAK,1990.0,37.75,43.29,1.71,0.57,6.10924758276,0.00869702238795
PER,1980.0,49.33,50.76,2.11,1.64,6.76849321165,0.00228573916472
PER,1985.0,49.36,59.23,2.36,1.98,6.77992190747,0.109308741274
PER,1990.0,51.47,65.33,2.73,2.34,7.32646561384,0.056877435311
PHL,1980.0,46.08,51.83,1.96,1.83,6.34563636083,0.0467229702363
PHL,1985.0,45.73,45.67,2.03,1.9,6.57925121201,0.0490244916066
PHL,1990.0,45.0,51.59,2.11,2.07,6.82437367004,0.0497792094833
PRT,1970.0,40.58,90.86,0.89,0.53,7.70074779451,0.0522639028484
PRT,1975.0,36.8,72.23,1.12,0.73,7.96206730875,-0.0252185454064
SGP,1970.0,41.0,115.42,1.39,0.81,7.88983375139,0.0808431777415
SGP,1975.0,40.69,109.95,1.08,0.7,8.2940496401,0.114478195885
SGP,1980.0,42.0,94.31,1.37,1.19,8.86644061953,0.0958608778912
SGP,1985.0,39.0,100.44,1.55,1.36,9.34574500898,0.119200251134
SWE,1965.0,33.4097,94.74,2.55,2.2,8.41183267576,0.129071303345
SWE,1970.0,27.3086,117.7,3.24,3.01,9.05718919248,0.108903472645
SWE,1975.0,32.44,138.72,3.76,3.41,9.6017065557,-0.0175129458794
SWE,1980.0,31.24,86.93,3.97,3.78,9.51414182631,0.143441917663
SWE,1985.0,32.52,124.23,4.24,4.17,10.2313514146,-0.000504959691147
SWE,1990.0,32.44,125.04,4.45,4.5,10.2288266162,0.0220016837922
THA,1960.0,41.28,53.2,0.34,0.13,4.94164242261,0.0810930216216
THA,1965.0,42.63,49.57,0.33,0.14,5.34710753072,0.0903970247486
THA,1970.0,41.74,64.23,0.45,0.22,5.79909265446,0.153234463115
THA,1980.0,43.1,41.88,0.67,0.42,6.67203294546,0.102670814024
THA,1985.0,48.8,55.5,0.78,0.54,7.18538701558,0.119567400151
