"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","ABW"," Total","Aruba","TTO","Trinidad and Tobago","2010","Import","5","10397.655"
"H0","ABW"," Total","Aruba","TUR","Turkey","2010","Import","5","783.254"
"H0","ABW"," Total","Aruba","UNS","Unspecified","2010","Export","6","4012.657"
"H0","ABW"," Total","Aruba","UNS","Unspecified","2010","Import","5","21267.877"
"H0","ABW"," Total","Aruba","URY","Uruguay","2010","Import","5","5532.790"
"H0","ABW"," Total","Aruba","USA","United States","2010","Export","6","7519.271"
"H0","ABW"," Total","Aruba","USA","United States","2010","Import","5","535395.868"
"H0","ABW"," Total","Aruba","VEN","Venezuela","2010","Export","6","18738.642"
"H0","ABW"," Total","Aruba","VEN","Venezuela","2010","Import","5","12957.232"
"H0","ABW"," Total","Aruba","WLD"," World","2010","Export","6","124523.218"
"H0","ABW"," Total","Aruba","WLD"," World","2010","Import","5","1071033.527"
"H0","AFG"," Total","Afghanistan","ALB","Albania","2010","Import","5","158.077"
"H0","AFG"," Total","Afghanistan","ARE","United Arab Emirates","2010","Export","6","6180.693"
"H0","AFG"," Total","Afghanistan","ARE","United Arab Emirates","2010","Import","5","105570.830"
"H0","AFG"," Total","Afghanistan","ARG","Argentina","2010","Import","5","48.376"
"H0","AFG"," Total","Afghanistan","AUS","Australia","2010","Export","6","648.457"
"H0","AFG"," Total","Afghanistan","AUS","Australia","2010","Import","5","1329.447"
"H0","AFG"," Total","Afghanistan","AUT","Austria","2010","Export","6","13.975"
"H0","AFG"," Total","Afghanistan","AUT","Austria","2010","Import","5","315.731"
"H0","AFG"," Total","Afghanistan","AZE","Azerbaijan","2010","Import","5","8304.978"
"H0","AFG"," Total","Afghanistan","BEL","Belgium","2010","Export","6","839.983"
"H0","AFG"," Total","Afghanistan","BEL","Belgium","2010","Import","5","5517.350"
"H0","AFG"," Total","Afghanistan","BGD","Bangladesh","2010","Import","5","1237.932"
"H0","AFG"," Total","Afghanistan","BGR","Bulgaria","2010","Import","5","125.121"
"H0","AFG"," Total","Afghanistan","BRA","Brazil","2010","Import","5","25214.960"
"H0","AFG"," Total","Afghanistan","CAN","Canada","2010","Export","6","478.863"
"H0","AFG"," Total","Afghanistan","CAN","Canada","2010","Import","5","35302.567"
"H0","AFG"," Total","Afghanistan","CHE","Switzerland","2010","Export","6","263.628"
"H0","AFG"," Total","Afghanistan","CHE","Switzerland","2010","Import","5","972.076"
"H0","AFG"," Total","Afghanistan","CHN","China","2010","Export","6","11691.878"
"H0","AFG"," Total","Afghanistan","CHN","China","2010","Import","5","703845.093"
"H0","AFG"," Total","Afghanistan","COL","Colombia","2010","Import","5","263.897"
"H0","AFG"," Total","Afghanistan","CUB","Cuba","2010","Import","5",".689"
"H0","AFG"," Total","Afghanistan","DEU","Germany","2010","Export","6","1883.784"
"H0","AFG"," Total","Afghanistan","DEU","Germany","2010","Import","5","422289.588"
"H0","AFG"," Total","Afghanistan","DNK","Denmark","2010","Export","6","189.000"
"H0","AFG"," Total","Afghanistan","DNK","Denmark","2010","Import","5","988.721"
"H0","AFG"," Total","Afghanistan","EGY","Egypt, Arab Rep.","2010","Export","6","3832.974"
"H0","AFG"," Total","Afghanistan","EGY","Egypt, Arab Rep.","2010","Import","5","1200.676"
"H0","AFG"," Total","Afghanistan","ESP","Spain","2010","Export","6","127.800"
"H0","AFG"," Total","Afghanistan","ESP","Spain","2010","Import","5","2446.202"
"H0","AFG"," Total","Afghanistan","FIN","Finland","2010","Export","6","2953.092"
"H0","AFG"," Total","Afghanistan","FIN","Finland","2010","Import","5","1755.540"
"H0","AFG"," Total","Afghanistan","FRA","France","2010","Export","6","264.195"
"H0","AFG"," Total","Afghanistan","FRA","France","2010","Import","5","3753.272"
"H0","AFG"," Total","Afghanistan","GBR","United Kingdom","2010","Export","6","2049.947"
"H0","AFG"," Total","Afghanistan","GBR","United Kingdom","2010","Import","5","31797.984"
"H0","AFG"," Total","Afghanistan","GRC","Greece","2010","Import","5",".268"
"H0","AFG"," Total","Afghanistan","GTM","Guatemala","2010","Import","5","10.545"
"H0","AFG"," Total","Afghanistan","HKG","Hong Kong, China","2010","Export","6","182.738"
"H0","AFG"," Total","Afghanistan","HKG","Hong Kong, China","2010","Import","5","3351.328"
"H0","AFG"," Total","Afghanistan","HUN","Hungary","2010","Import","5","3.901"
"H0","AFG"," Total","Afghanistan","IDN","Indonesia","2010","Export","6","127.210"
"H0","AFG"," Total","Afghanistan","IDN","Indonesia","2010","Import","5","35584.961"
"H0","AFG"," Total","Afghanistan","IND","India","2010","Export","6","65357.645"
"H0","AFG"," Total","Afghanistan","IND","India","2010","Import","5","112907.128"
"H0","AFG"," Total","Afghanistan","IRL","Ireland","2010","Import","5","2900.469"
"H0","AFG"," Total","Afghanistan","IRN","Iran, Islamic Rep.","2010","Export","6","31730.468"
"H0","AFG"," Total","Afghanistan","IRN","Iran, Islamic Rep.","2010","Import","5","386411.377"
"H0","AFG"," Total","Afghanistan","IRQ","Iraq","2010","Export","6","8721.384"
"H0","AFG"," Total","Afghanistan","IRQ","Iraq","2010","Import","5","26.152"
"H0","AFG"," Total","Afghanistan","ITA","Italy","2010","Export","6","549.969"
"H0","AFG"," Total","Afghanistan","ITA","Italy","2010","Import","5","9647.145"
"H0","AFG"," Total","Afghanistan","JOR","Jordan","2010","Export","6","28.704"
"H0","AFG"," Total","Afghanistan","JOR","Jordan","2010","Import","5","19.527"
"H0","AFG"," Total","Afghanistan","JPN","Japan","2010","Export","6","307.797"
"H0","AFG"," Total","Afghanistan","JPN","Japan","2010","Import","5","494368.703"
"H0","AFG"," Total","Afghanistan","KAZ","Kazakhstan","2010","Export","6","941.775"
"H0","AFG"," Total","Afghanistan","KAZ","Kazakhstan","2010","Import","5","207982.552"
"H0","AFG"," Total","Afghanistan","KEN","Kenya","2010","Import","5","21806.620"
"H0","AFG"," Total","Afghanistan","KGZ","Kyrgyz Republic","2010","Import","5","37.210"
"H0","AFG"," Total","Afghanistan","KOR","Korea, Rep.","2010","Export","6","641.836"
"H0","AFG"," Total","Afghanistan","KOR","Korea, Rep.","2010","Import","5","57254.020"
"H0","AFG"," Total","Afghanistan","LBN","Lebanon","2010","Import","5","1279.824"
"H0","AFG"," Total","Afghanistan","LKA","Sri Lanka","2010","Import","5","375.725"
"H0","AFG"," Total","Afghanistan","LVA","Latvia","2010","Export","6","529.410"
"H0","AFG"," Total","Afghanistan","MYS","Malaysia","2010","Import","5","53283.536"
"H0","AFG"," Total","Afghanistan","NLD","Netherlands","2010","Export","6","9409.321"
"H0","AFG"," Total","Afghanistan","NLD","Netherlands","2010","Import","5","10152.466"
"H0","AFG"," Total","Afghanistan","NOR","Norway","2010","Export","6","52.460"
"H0","AFG"," Total","Afghanistan","NOR","Norway","2010","Import","5","689.889"
"H0","AFG"," Total","Afghanistan","NZL","New Zealand","2010","Export","6","37.800"
"H0","AFG"," Total","Afghanistan","NZL","New Zealand","2010","Import","5","70.880"
"H0","AFG"," Total","Afghanistan","OAS","Other Asia, nes","2010","Import","5","5342.418"
"H0","AFG"," Total","Afghanistan","PAK","Pakistan","2010","Export","6","151342.943"
"H0","AFG"," Total","Afghanistan","PAK","Pakistan","2010","Import","5","597502.822"
"H0","AFG"," Total","Afghanistan","PHL","Philippines","2010","Import","5","44.086"
"H0","AFG"," Total","Afghanistan","POL","Poland","2010","Export","6","37.800"
"H0","AFG"," Total","Afghanistan","POL","Poland","2010","Import","5","269.180"
"H0","AFG"," Total","Afghanistan","RUS","Russian Federation","2010","Export","6","29585.442"
"H0","AFG"," Total","Afghanistan","RUS","Russian Federation","2010","Import","5","181394.091"
"H0","AFG"," Total","Afghanistan","SAU","Saudi Arabia","2010","Export","6","1566.230"
"H0","AFG"," Total","Afghanistan","SAU","Saudi Arabia","2010","Import","5","53694.555"
"H0","AFG"," Total","Afghanistan","SGP","Singapore","2010","Import","5","2394.115"
"H0","AFG"," Total","Afghanistan","SVK","Slovak Republic","2010","Import","5","1569.264"
"H0","AFG"," Total","Afghanistan","SWE","Sweden","2010","Export","6","45.850"
"H0","AFG"," Total","Afghanistan","SWE","Sweden","2010","Import","5","18505.180"
"H0","AFG"," Total","Afghanistan","SYR","Syrian Arab Republic","2010","Export","6","941.436"
"H0","AFG"," Total","Afghanistan","THA","Thailand","2010","Import","5","39981.603"
"H0","AFG"," Total","Afghanistan","TJK","Tajikistan","2010","Export","6","7243.814"
"H0","AFG"," Total","Afghanistan","TJK","Tajikistan","2010","Import","5","98127.788"
"H0","AFG"," Total","Afghanistan","TKM","Turkmenistan","2010","Export","6","8620.285"
"H0","AFG"," Total","Afghanistan","TKM","Turkmenistan","2010","Import","5","117059.599"
"H0","AFG"," Total","Afghanistan","TUR","Turkey","2010","Export","6","34774.715"
"H0","AFG"," Total","Afghanistan","TUR","Turkey","2010","Import","5","108694.018"
"H0","AFG"," Total","Afghanistan","UKR","Ukraine","2010","Export","6","228.555"
"H0","AFG"," Total","Afghanistan","UKR","Ukraine","2010","Import","5","4125.194"
"H0","AFG"," Total","Afghanistan","USA","United States","2010","Export","6","3661.498"
"H0","AFG"," Total","Afghanistan","USA","United States","2010","Import","5","78480.105"
"H0","AFG"," Total","Afghanistan","UZB","Uzbekistan","2010","Export","6","398.285"
"H0","AFG"," Total","Afghanistan","UZB","Uzbekistan","2010","Import","5","1087926.520"
"H0","AFG"," Total","Afghanistan","VNM","Vietnam","2010","Import","5","8535.996"
"H0","AFG"," Total","Afghanistan","WLD"," World","2010","Export","6","388483.635"
"H0","AFG"," Total","Afghanistan","WLD"," World","2010","Import","5","5154249.867"
"H0","ALB"," Total","Albania","AFG","Afghanistan","2010","Export","6","1.830"
"H0","ALB"," Total","Albania","AFG","Afghanistan","2010","Import","5","1.862"
"H0","ALB"," Total","Albania","ALB","Albania","2010","Import","5",".000"
"H0","ALB"," Total","Albania","AND","Andorra","2010","Import","5","11.077"
"H0","ALB"," Total","Albania","ARE","United Arab Emirates","2010","Export","6","11673.268"
"H0","ALB"," Total","Albania","ARE","United Arab Emirates","2010","Import","5","1887.512"
"H0","ALB"," Total","Albania","ARG","Argentina","2010","Import","5","6625.950"
"H0","ALB"," Total","Albania","ARM","Armenia","2010","Import","5",".938"
"H0","ALB"," Total","Albania","ATG","Antigua and Barbuda","2010","Import","5","4.507"
"H0","ALB"," Total","Albania","AUS","Australia","2010","Export","6",".133"
"H0","ALB"," Total","Albania","AUS","Australia","2010","Import","5","1023.138"
"H0","ALB"," Total","Albania","AUT","Austria","2010","Export","6","15964.618"
"H0","ALB"," Total","Albania","AUT","Austria","2010","Import","5","73931.732"
"H0","ALB"," Total","Albania","AZE","Azerbaijan","2010","Import","5","21516.234"
"H0","ALB"," Total","Albania","BEL","Belgium","2010","Export","6","3953.934"
"H0","ALB"," Total","Albania","BEL","Belgium","2010","Import","5","22794.929"
"H0","ALB"," Total","Albania","BEN","Benin","2010","Import","5",".001"
"H0","ALB"," Total","Albania","BGD","Bangladesh","2010","Import","5","627.429"
"H0","ALB"," Total","Albania","BGR","Bulgaria","2010","Export","6","15689.737"
"H0","ALB"," Total","Albania","BGR","Bulgaria","2010","Import","5","81807.108"
