"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Brazil","BRA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","0.84","0.84","0.84","0.88","0.93","0.86","0.74","0.64","0.6","0.76","","0.82","0.69","","0.76","0.66","0.69","0.75","0.78","","0.71","0.81","0.79","0.89","0.93","0.96","0.9","0.99","0.98","","0.98","1.04","0.97","","",
"Barbados","BRB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","2.73","","","","","2.77","","","",
"Botswana","BWA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","1.43","","","","","","","","1.19","","","","","","","","","0.82","","","","","","","1.05","","","","","","",
"Central African Republic","CAF","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.69","","","","","","","","","","","2.02","","","","","1.21","","","","","","","",
"Canada","CAN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","2.52","","","","","","2.74","","","","2.83","","","2.79","","","2.65","2.39","","2.48","","","","2.53","","","2.7","","","2.68","","","","","",
"Central Europe and the Baltics","CEB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.77","2.89","3.04","2.96","3.08","3.29","","","",
"Channel Islands","CHI","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16","","","1.19","","1.43","","1.23","","1.33","","1.25","","1.31","","","1.38","","","1.57","","","1.55","","1.68","","1.72","","",
"China","CHN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","3.72","","","3.76","3.88","","3.26","","","3.49","","","3.18","","","3.11","","","2.73","","","2.28","","","1.89","","","1.77","","1.69","","","","","",
"Cote d'Ivoire","CIV","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","1.79","2.81","2.45","2.69","","","","2.28","2.41","","2.71","","","2.56","","","","2.3","","","","","","1.84","","","","","","","",
"Cameroon","CMR","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48","","","","","2.49","","","","","","2.46","","","","","","","","",
"Congo, Rep.","COG","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.96","","","","","","2.18","","","","",
"Colombia","COL","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.22","1.34","","1.34","1.06","","","","0.46","","","0.35","0.13","0.5","0.87","1.06","1.13","1.13","0.57","0.71","0.91","0.97","1.05","1.11","1.06","1.09","","",
"Comoros","COM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.54","","","","","","","","","","","",
"Cabo Verde","CPV","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.59","","","","","","1.95","","","","","","","","",
"Costa Rica","CRI","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","1.07","","","","","1.53","","","0.61","0.95","0.97","1.07","1.01","1.13","1.12","1.05","1.28","1.36","1.16","1.13","0.91","0.96","0.98","1.12","1.3","1.24","1.46","1.41","1.21","1.57","1.49","1.47","1.45","","",
"Caribbean small states","CSS","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.65","3.79","3.74","3.7","3.67","3.5","3.56","3.41","3.29","","","",
"Czech Republic","CZE","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.31","","","","","4.64","","","4.32","","","","","","","","3.58","3.77","3.73","3.92","3.91","3.82","3.71","3.69","3.87","","","",
"Germany","DEU","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48","2.85","3.19","3.16","3.09","3.36","","","","",
"Djibouti","DJI","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.31","","","","","","","","","","1.26","","","",
"Dominica","DMA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","3.41","3.17","3.48","1.28","1.96","2.39","2.26","2.84","","","",
"Dominican Republic","DOM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","1.38","","","1.66","","","1.61","","","","1.47","1.31","","","1.22","1.47","1.26","1.33","1.42","1.5","1.45","1.61","1.7","1.69","1.81","1.78","1.89","1.9","","",
"Algeria","DZA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87","","","","","","","","","","","","","","","","","","","","",
