,year,country,contcod,mean,region,gdpppp,pop,expgdp,xpo,mpo,gdp,openness,dfigdp,er,inf,nint,rint,democr2,m2gdp,kopen,expk,impk,rgdpch,open_ppp,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10
23,1998,Angola,AGO,2457.0,1.0,2508.0,12.00647,,3666.0,5718.0,6445.0,1.4560123682022095,17.284717559814453,,,,,,,,,,,,0.21652421355247498,0.35653236508369446,0.46275946497917175,0.5584045648574829,0.6674806475639343,0.8103377819061279,0.9739519953727722,1.1998372077941895,1.6174196004867554,3.1383800506591797
24,1999,Angola,AGO,,1.0,2522.0,13.134,,5311.0,7100.0,6090.0,2.037930965423584,40.582923889160156,,,,,1.0,,,,,,,,,,,,,,,,
25,2000,Angola,AGO,,1.0,2502.0,13.512,,8103.0,7487.0,8858.0,1.759990930557251,9.918717384338379,,,,,1.0,,,,,,,,,,,,,,,,
26,1975,Albania,ALB,,4.0,,2.402,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
27,1976,Albania,ALB,,4.0,,2.456,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
28,1977,Albania,ALB,,4.0,,2.508,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
29,1978,Albania,ALB,,4.0,,2.563,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
30,1979,Albania,ALB,,4.0,,2.617,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
31,1980,Albania,ALB,,4.0,3291.0,2.671,,378.0,375.0,,,,,,,,0.0,,,,,,,,,,,,,,,,
32,1981,Albania,ALB,,4.0,3414.0,2.724,,430.0,404.0,,,,,,,,0.0,,,,,,,,,,,,,,,,
33,1982,Albania,ALB,,4.0,3443.0,2.78,,373.0,461.0,,,,,,,,0.0,,,,,,,,,,,,,,,,
34,1983,Albania,ALB,,4.0,3410.0,2.838,,354.0,406.0,,,,,,,,0.0,,,,,,,,,,,,,,,,
35,1984,Albania,ALB,,4.0,3298.0,2.897,,335.0,373.0,1924.0,0.3679833710193634,,,,,,0.0,,,,,,,,,,,,,,,,
36,1985,Albania,ALB,,4.0,3287.0,2.957,,319.0,363.0,1965.0,0.3470737934112549,,,,,,0.0,,,,,,,,,,,,,,,,
37,1986,Albania,ALB,,4.0,3407.0,3.016,,327.0,337.0,2174.0,0.30542778968811035,,,,,,0.0,,,,,,,,,,,,,,,,
38,1987,Albania,ALB,,4.0,3313.0,3.076,,334.0,336.0,2157.0,0.3106165826320648,,,,,,0.0,,,,,,,,,,,,,,,,
39,1988,Albania,ALB,,4.0,3201.0,3.138,,374.0,409.0,2126.0,0.368297278881073,,,,,,0.0,,,,,,,,,,,,,,,,
40,1989,Albania,ALB,,4.0,3417.0,3.23,,434.0,484.0,2335.0,0.393147736787796,,,,,,0.0,,,,,,,,,,,,,,,,
41,1990,Albania,ALB,,4.0,3041.0,3.282,,354.0,487.0,2102.0,0.400095134973526,,,,,,0.0,,,,,,,,,,,,,,,,
42,1991,Albania,ALB,,4.0,2192.0,3.277,,82.0,340.0,1139.0,0.37050044536590576,,,,,,3.0,,0.18412581086158752,16639417030.0,20822222859.0,2212.10107421875,,,,,,,,,,,
43,1992,Albania,ALB,,4.0,2069.0,3.225,,90.0,667.0,710.0,1.066197156906128,2.816901445388794,,,,,8.0,,0.4481152594089508,11731781981.0,79662193573.0,2251.4931640625,,,,,,,,,,,
