"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Brazil","BRA","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","6.16","6","5.87","6.04","6.46","6.04","5.7","5.33","4.96","5.46","","7.08","5.81","","5.82","5.69","5.69","5.82","5.95","","5.9","6.04","6.19","6.46","6.54","6.75","6.89","7.13","7.28","","7.53","7.65","7.62","","",
"Barbados","BRB","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.38","","","","10.79","","","","","10.82","","","",
"Botswana","BWA","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","6.88","","","","","","","","5.88","","","","","","","","","4.61","","","","","","","5.69","","","","","","",
"Central African Republic","CAF","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.93","","","","","","","","","","","9.42","","","","","6.99","","","","","","","",
"Canada","CAN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","12.7","","","","","","12.95","","","","13.07","","","12.99","","","12.91","12.6","","12.5","","","","12.36","","","12.31","","","12.39","","","","","",
"Central Europe and the Baltics","CEB","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.06","12.02","12.31","12.46","12.64","12.69","","","",
"Channel Islands","CHI","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","","","6.56","","7.17","","6.73","","7.06","","6.94","","7.06","","","7.24","","","7.86","","","7.95","","8.2","","8.29","","",
"China","CHN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","13.13","","","13.53","13.94","","13.06","","","12.15","","","11.32","","","11.31","","","10.29","","","9.37","","","9.81","","","9.65","","9.74","","","","","",
"Cote d'Ivoire","CIV","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","9.33","10.88","10.38","11.32","","","","10.55","10.51","","10.17","","","10.83","","","","10.58","","","","","","9.83","","","","","","","",
"Cameroon","CMR","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.55","","","","","9.99","","","","","","9.49","","","","","","","","",
"Congo, Rep.","COG","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.61","","","","","","10.29","","","","",
"Colombia","COL","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2","7.16","","7.6","8","","","","6.99","","","6.5","6.74","6.83","6.28","7.28","6.83","7.09","5.87","6.06","6.73","6.78","6.9","7.21","7.29","7.29","","",
"Comoros","COM","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.27","","","","","","","","","","","",
"Cabo Verde","CPV","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.58","","","","","","8.74","","","","","","","","",
"Costa Rica","CRI","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","8.32","","","","","12.23","","","9.18","9.5","9.08","9.36","9.23","9.13","9.33","9.09","9.21","9.16","8.78","8.86","7.94","8.08","8.17","8.42","8.7","8.41","8.4","8.4","7.94","8.57","8.31","8.37","8.21","","",
"Caribbean small states","CSS","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.98","12.88","12.81","12.61","12.54","12.49","12.77","12.47","12.11","","","",
