"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Brazil","BRA","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","45.88","46.23","46.79","46.53","42.54","46.57","47.38","49.19","51.15","48.07","","39.69","48.44","","47.55","47.35","47.39","47.59","47","","47.32","46.83","46","45.06","45.15","44.48","43.57","42.93","42.45","","41.89","41.67","41.82","","",
"Barbados","BRB","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.39","","","","29.37","","","","","30.63","","","",
"Botswana","BWA","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","42.93","","","","","","","","51.2","","","","","","","","","53.08","","","","","","","49.61","","","","","","",
"Central African Republic","CAF","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.73","","","","","","","","","","","33.01","","","","","46.22","","","","","","","",
"Canada","CAN","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","24.33","","","","","","23.9","","","","23.66","","","23.68","","","23.88","25.43","","25.63","","","","25.63","","","26.06","","","25.74","","","","","",
"Central Europe and the Baltics","CEB","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.77","26.35","25.69","25.47","24.68","25.02","","","",
"Channel Islands","CHI","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.39","","","47.05","","45.2","","45.91","","44.43","","44.97","","45.29","","","45.07","","","41.96","","","42.76","","41.72","","41.47","","",
"China","CHN","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","22.86","","","21.6","22.3","","22.59","","","25.27","","","27.44","","","27.55","","","29.72","","","31.67","","","31.69","","","31.05","","29.98","","","","","",
"Cote d'Ivoire","CIV","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","35.61","29.53","32.03","28.33","","","","29.52","29.66","","32.78","","","30.08","","","","32.71","","","","","","32.64","","","","","","","",
"Cameroon","CMR","Income share held by highest 10%","SI.DST.10TH.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.15","","","","","33.65","","","","","","33.04","","","","","","","","",
