code,year,GDP_growth_WB,openness_WB,investments,years_schooling,savings,gini,price_level_investment_PWT,gov_consumption_WB,inflation_WB,fertility_WB,GDP_PC
AUT,1991.0,3.44162738718,0.701875540977,27.0696178641,8.45,20.3553115212,0.257791061401,93.28426076,17.9286430039,3.33434835566,1.51,23115.2781695
AUT,1992.0,2.09352471907,0.677643079678,26.3794483667,8.54,19.2014574062,0.266470546722,101.5350132,18.2565677255,4.02976278179,1.51,24761.9002391
AUT,1993.0,0.526809483409,0.633909126856,25.4317470771,8.63,18.4291432077,0.253272657395,94.998549,19.0568428166,3.62580553785,1.5,24569.0856908
AUT,1994.0,2.40211875392,0.661178130684,26.2668343155,8.72,18.2233962117,0.29433010292,98.88185354,19.1989769005,2.95906512677,1.47,25953.8445508
AUT,1995.0,2.6679836709,0.683920439678,26.899120367,8.81,18.8781446149,0.284559682846,109.4943684,19.3424348392,2.25009956193,1.42,28966.5453847
AUT,1996.0,2.39831429528,0.702065828359,26.4810182483,8.842,18.5086691737,0.266390028,103.3962025,19.3228071283,1.8435572866,1.45,28967.5857013
AUT,1997.0,2.20501964036,0.749929690285,26.3230618486,8.874,18.7041801201,0.271337533951,91.90506377,19.3931188243,1.30832133193,1.39,27909.7328247
AUT,1998.0,3.55996691871,0.770878033443,26.2249660857,8.906,19.1668517189,0.251121549607,92.56901074,19.3330796756,0.921274845498,1.37,29062.3022956
AUT,1999.0,3.58998775085,0.783792689676,26.201955553,8.938,19.2069739598,0.2556497612,87.51042869,19.6466365642,0.562409389869,1.34,29569.9879538
AUT,2000.0,3.36840771488,0.854737834816,26.0091878902,8.97,19.7604207923,0.254960614522,74.2367485,19.0378323958,2.39518551186,1.36,28817.388429
AUT,2001.0,1.35051607992,0.876386079,25.2060074739,9.034,19.0083668162,0.250728034973,71.93995965,18.815871352,2.66344072205,1.33,28432.3069644
AUT,2002.0,1.65585494262,0.869599494306,23.667148435,9.098,20.5873468802,0.266452693939,74.27567355,18.6765024625,1.80210199854,1.39,29651.464135
AUT,2003.0,0.756156575984,0.864920631987,24.4720148127,9.162,20.3484297209,0.272000270843,90.33493841,18.8552143659,1.35554112495,1.38,32462.164546
AUT,2004.0,2.70574308751,0.909343499361,24.111224556,9.226,20.5826205948,0.270849590302,96.59826229,18.7434447532,2.06122815101,1.42,35130.8605478
AUT,2005.0,2.14068259595,0.941620079108,23.8858459632,9.29,20.2133797234,0.266506573995,95.10180441,19.2199218013,2.3047658787,1.41,35854.6144275
AUT,2006.0,3.35083135763,0.982302554057,23.6701064628,9.352,20.944845852,0.267581400977,93.88479829,19.1486876965,1.44961845102,1.41,37687.2808026
AUT,2007.0,3.62151042349,1.00818833116,24.6200373226,9.414,22.4560720903,0.275264450073,102.4763695,18.6653007819,2.16859905342,1.38,41353.0513853
AUT,2008.0,1.54726383931,1.02125051112,24.5351967615,9.476,23.1725902089,0.271733350966,109.7297902,19.1841109793,3.21592066035,1.42,44044.0837282
AUT,2009.0,-3.79907504839,0.868070420474,22.8448181544,9.538,19.1393228687,0.277090034909,105.2520201,20.5772100584,0.5063125089,1.39,41666.5353654
