country,year,gini_net,gini_market,rel_red,abs_red
Afghanistan,2008,28.0842056274414,31.3924407958984,,
Afghanistan,2009,29.1766662597656,31.5741806030273,,
Afghanistan,2010,30.2691287994385,31.7559204101562,,
Afghanistan,2011,31.3615913391113,31.9376602172852,,
Afghanistan,2012,32.4540519714355,32.1194000244141,,
Albania,1996,30.9545917510986,30.3397121429443,,
Albania,1997,30.5638694763184,31.6833515167236,,
Albania,1998,30.6103992462158,32.1851348876953,,
Albania,1999,30.6569309234619,32.6869201660156,,
Albania,2000,30.7034606933594,33.1887016296387,,
Albania,2001,30.7499923706055,33.6904830932617,,
Albania,2002,30.7965221405029,34.192268371582,,
Albania,2003,30.5219116210938,31.9594821929932,,
Albania,2004,30.2473011016846,29.7266960144043,,
Albania,2005,33.8848495483398,32.7128753662109,,
Albania,2006,34.6032905578613,34.1740188598633,,
Albania,2007,35.3217353820801,35.6351623535156,,
Albania,2008,36.0401763916016,37.096305847168,,
Algeria,1988,36.4153747558594,39.9936676025391,,
Algeria,1989,35.6999969482422,39.2343864440918,,
Algeria,1990,34.984619140625,38.4751052856445,,
Algeria,1991,34.2692451477051,37.7158241271973,,
Algeria,1992,33.5538673400879,36.9565467834473,,
Algeria,1993,32.8384895324707,36.197265625,,
Algeria,1994,32.1231117248535,35.4379844665527,,
Algeria,1995,31.407735824585,34.6787033081055,,
Algeria,1996,31.7685947418213,35.8846282958984,,
Algeria,1997,32.129451751709,37.0905532836914,,
Algeria,1998,32.4903106689453,38.2964782714844,,
Algeria,1999,32.8511695861816,39.5024032592773,,
Algeria,2000,33.212028503418,40.7083282470703,,
Algeria,2001,33.7904815673828,40.7342491149902,,
Algeria,2002,34.3689308166504,40.7601737976074,,
Algeria,2003,34.9473838806152,40.7860946655273,,
Algeria,2004,35.5258331298828,40.8120193481445,,
Algeria,2005,36.1042861938477,40.8379402160645,,
Andorra,2001,26.0121574401855,40.2634468078613,,
Andorra,2002,29.39501953125,40.4652633666992,,
Andorra,2003,26.4886875152588,54.9745559692383,,
Angola,1995,40.1338348388672,42.1859970092773,,
Angola,1996,43.8184852600098,45.8199882507324,,
Angola,1997,47.5031356811523,49.4539794921875,,
Angola,1998,51.1877899169922,53.0879669189453,,
Angola,1999,54.8724403381348,56.7219581604004,,
Angola,2000,58.5570907592773,60.3559494018555,,
Angola,2001,58.2711982727051,61.2385864257812,,
Angola,2002,57.9853057861328,62.1212196350098,,
Angola,2003,57.6994171142578,63.0038566589355,,
Angola,2004,57.4135246276855,63.8864898681641,,
Angola,2005,57.1276321411133,64.7691268920898,,
Angola,2006,52.8395576477051,60.3527603149414,,
Angola,2007,48.5514831542969,55.9363975524902,,
Angola,2008,44.2634086608887,51.5200309753418,,
Angola,2009,41.2937927246094,51.286190032959,,
Anguilla,2002,32.0322914123535,33.7238578796387,,
Anguilla,2003,33.5978012084961,34.8942680358887,,
Anguilla,2004,35.1633110046387,36.0646781921387,,
Anguilla,2005,36.7288208007812,37.2350883483887,,
Anguilla,2006,38.2943344116211,38.4054985046387,,
Anguilla,2007,39.8598442077637,39.5759086608887,,
Anguilla,2008,41.4253540039062,40.7463188171387,,
Argentina,1961,39.2619400024414,39.8879661560059,,
Argentina,1963,36.2544441223145,39.3311576843262,,
Argentina,1965,35.1032791137695,37.2916069030762,,
Argentina,1969,36.1250648498535,38.1433525085449,,
Argentina,1970,35.4942474365234,36.2427597045898,,
Argentina,1971,33.308708190918,34.7644996643066,,
Argentina,1972,32.3806991577148,36.4040298461914,,
Argentina,1974,31.4204025268555,36.2717437744141,,
Argentina,1975,30.9665279388428,37.2368049621582,,
Argentina,1976,33.7129592895508,38.8562355041504,,
Argentina,1977,34.7998390197754,44.305908203125,,
Argentina,1978,36.0842628479004,41.1230964660645,,
Argentina,1979,36.145679473877,43.7945556640625,,
Argentina,1980,37.9278602600098,41.9153366088867,,
Argentina,1981,36.7990798950195,41.5793838500977,,
Argentina,1982,36.6366806030273,40.8031311035156,,
Argentina,1983,37.8107681274414,41.1515235900879,,
Argentina,1985,38.6217193603516,41.6758575439453,7.32831525802612,3.05413818359375
Argentina,1986,39.6323661804199,43.1889038085938,8.23484134674072,3.55653762817383
Argentina,1987,40.725772857666,43.2973480224609,5.93933629989624,2.57157516479492
Argentina,1988,40.3756370544434,43.8162040710449,7.85227108001709,3.44056701660156
Argentina,1989,42.5054702758789,46.5080947875977,8.60629653930664,4.00262451171875
Argentina,1990,41.2802543640137,44.6273956298828,7.50019407272339,3.34714126586914
Argentina,1991,41.2554054260254,45.6373863220215,9.60173511505127,4.38198089599609
Argentina,1992,41.1449432373047,44.813060760498,8.18537616729736,3.66811752319336
Argentina,1993,41.8937606811523,43.8304023742676,4.41848945617676,1.93664169311523
Argentina,1994,41.8941955566406,45.581428527832,8.08933162689209,3.68723297119141
Argentina,1995,42.6783180236816,45.523551940918,6.2500262260437,2.84523391723633
Argentina,1996,43.6262397766113,46.8548698425293,6.89070320129395,3.22863006591797
Argentina,1997,44.2757797241211,45.9479370117188,3.63924336433411,1.67215728759766
Argentina,1998,45.0979690551758,47.5047225952148,5.06634569168091,2.40675354003906
Argentina,1999,44.6936683654785,46.6466598510742,4.18677663803101,1.9529914855957
Argentina,2000,45.0390319824219,47.8337936401367,5.84265089035034,2.79476165771484
Argentina,2001,46.6732521057129,47.8876876831055,2.53600788116455,1.21443557739258
Argentina,2002,47.0838317871094,49.3013648986816,4.49791431427002,2.21753311157227
Argentina,2003,46.9704933166504,48.8803634643555,3.90723395347595,1.90987014770508
